,Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
54,1721283139,__NA__,0.0,0.0,0.0,honest,1,0.0,0.0,based on science,1,0.0,0.0
5,1721299435,__NA__,0.0,0.0,0.0,Too many different statements by CDC.,13,0.0,0.0,"No one knows. Unfortunately, CDC is causing many to doubt that the information presented by the President, Fauci, or others is meaningful.",97,0.0,0.0
45,1721327775,__NA__,0.0,0.0,0.0,I think there's a whole hidden agenda behind this illness,20,0.0,0.0,They probably realized that 5 days was enough,1,9.0,0.0
36,1721328195,__NA__,0.0,0.0,0.0,trust science,4,0.0,0.0,experience,99,0.0,0.0
41,1721328201,__NA__,0.0,0.0,0.0,CDC has 50000 version which keep changing,13,0.0,0.0,very typical,98,0.0,0.0
18,1721328203,__NA__,0.0,0.0,0.0,They use scientific data from proven trusted sources.,4,0.0,0.0,Perception of increased vaccine effectiveness and plateauing cases.,13,8.0,10.0
48,1721354321,__NA__,0.0,0.0,0.0,because of conflicting info,13,0.0,0.0,people were not obeying the 10 day mandate,9,0.0,0.0
106,1721381789,I haven't had the chance to yet,7.0,0.0,0.0,I dont have reason to disbelieve it,3,0.0,0.0,I have no idea,97,0.0,0.0
12,1721384955,__NA__,0.0,0.0,0.0,"These people are doing the research, they know this disease, what choice do we have? we have to trust them",2,3.0,0.0,Because they know much more about this disease than they did,1,0.0,0.0
80,1721407261,__NA__,0.0,0.0,0.0,They keep things from everyone,10,0.0,0.0,Because more people have gotten the shot,10,0.0,0.0
24,1721407271,__NA__,0.0,0.0,0.0,They never tell you everything they just do what the government wants,10,0.0,0.0,Don’t know nothing they do or say makes any sense,4,97.0,0.0
55,1721438201,__NA__,0.0,0.0,0.0,They have access to verifiable data.,4,0.0,0.0,Pressure from businesses.,5,8.0,0.0
29,1721438203,__NA__,0.0,0.0,0.0,Because I believe scientists are in their job to help people figure out how illness can be safely treated and to save lives. As we all know science is not a perfect thing and mistakes can be made. I believe they are doing the best to their knowledge that they can do.,21,1.0,3.0,Because they have been going over the data and it shows there is no longer a need for such a long isolation period. Scienctists are learning more and more every day about how covid affects people and how vaccinations are helping to keep the people alive and from getting as sick and needing the hospital. This is awesome and amazing gains for everyoone in the world. If people only looked at it with the view of every season we need to get flu shots to prevent us from getting the flu so why is it such a big deal to the same to prevent from getting covid? Its simple very simple if people would stop making it about other things and just do the right thing and get vaccinated.,1,10.0,11.0
9,1721438209,Inconvenient procedure.,7.0,0.0,0.0,"These are professionals in the medical field, not politicians.",7,0.0,0.0,I suspect it is based on data which I do not have.,1,0.0,0.0
125,1721468765,__NA__,0.0,0.0,0.0,I don’t know,99,0.0,0.0,Not too severe,11,0.0,0.0
20,1721471605,__NA__,0.0,0.0,0.0,I have a masters degree in science. I understand scientific methods and believe in science.,4,0.0,0.0,"Science backed it up, psychology suggested it would be easier for people to do.",1,0.0,0.0
11,1721471609,__NA__,0.0,0.0,0.0,I am a former medical professional and do believe in the science behind Covid information.,4,0.0,0.0,Maybe new things have come to light since the original recommendations were put out.,1,0.0,0.0
27,1721471613,__NA__,0.0,0.0,0.0,They are trained and paid to tell the truth as they know it.,1,2.0,0.0,Maybe herd immunity due to so many already vaccinated? Also the Omicron version appears less dangerous.,2,10.0,0.0
85,1721494581,__NA__,0.0,0.0,0.0,not being truthful,10,0.0,0.0,to get people back into the workforce,5,0.0,0.0
22,1721498889,__NA__,0.0,0.0,0.0,Studies,4,0.0,0.0,Science,1,0.0,0.0
25,1721521099,__NA__,0.0,0.0,0.0,they only report what they are told,1,0.0,0.0,I'm not sure,97,0.0,0.0
8,1721521105,__NA__,0.0,0.0,0.0,Not sure,99,0.0,0.0,Not sure,97,0.0,0.0
57,1721552533,__NA__,0.0,0.0,0.0,Too many drastic changes in information. Vague numbers. Counting people who tested positive for COVID in their data as having died from the virus when they actually died from other issues.,13,16.0,0.0,None,99,0.0,0.0
60,1721553853,__NA__,0.0,0.0,0.0,I qve read the data behind the studies.,4,0.0,0.0,The latest varients are spreading earlier and more easily. Testing after the 5 th day will determine yourvoral loadand whether or not you should continie to isolate for a longer period of time.,1,2.0,0.0
16,1721590445,__NA__,0.0,0.0,0.0,"They tell the truth, are trained and work to protect public health.",1,2.0,0.0,More knowledge of COVID. It's been 2 years.,1,0.0,0.0
146,1721590461,__NA__,0.0,0.0,0.0,They have the studies,2,0.0,0.0,Isk,97,0.0,0.0
354,1721623761,__NA__,0.0,0.0,0.0,"They have the tendency to say one thing one day and something else on another day. If it is something we should be worried about, why are so many high profile people and politicians out there partying, going to concerts, going to sporting events, and such and not wearing masks?",13,0.0,0.0,"Because people have had enough of being cooped up after 2 years, and don't trust the CDC anymore.",8,0.0,0.0
31,1721623769,__NA__,0.0,0.0,0.0,no,99,0.0,0.0,don't know,97,0.0,0.0
53,1721658091,__NA__,0.0,0.0,0.0,Too many changes and not enough discussions for both pro and con discussions. Too political.,13,10.0,0.0,They are learning as well. That is what science is. Too much political BS.,1,0.0,0.0
10,1721683875,__NA__,0.0,0.0,0.0,no comment,99,0.0,0.0,new data collected,1,0.0,0.0
13,1721728945,__NA__,0.0,0.0,0.0,"Because despite inevitable uncertainties, they have devoted their careers to study of public health and disease. Epidemiology. If someone like trump returns to power however, the structure may be destroyed and become worthless.",2,0.0,0.0,Concern over functioning of society,5,0.0,0.0
49,1721732957,__NA__,0.0,0.0,0.0,"It may not always be clear, but at least they look at the data",2,4.0,0.0,For businesses to get employees back,5,0.0,0.0
43,1721773091,__NA__,0.0,0.0,0.0,Public health scientists have everything to gain and nothing to lose by being completely honest about these things.,1,0.0,0.0,"As time goes on and people at least adjust to Covid and, at the same time, the CDC becomes more knowledgeable about the virus the CDC then becomes more comfortable about adjusting theur own recommendations.",1,0.0,0.0
171,1721773097,__NA__,0.0,0.0,0.0,Because it’s messy and contradictory. They’re willing to change it as they discover new things,1,3.0,0.0,Under pressure from airlines and retailers.,5,0.0,0.0
113,1721773099,Do not want to,98.0,0.0,0.0,There is an abundance of over reaction,11,0.0,0.0,Random,98,0.0,0.0
40,1721918833,My area hasn’t come out with a j&j booster and I don’t wish to cross with another type of booster,98.0,0.0,0.0,The leaders of cdc and head of health advisers in my state of Rhode Island have quit their jobs definitely not a positive ign,98,0.0,0.0,To keep people working and the economy from weakening again,5,0.0,0.0
42,1721918835,__NA__,0.0,0.0,0.0,"As science evolves, information presented to the public changes- which is to be expected.",4,0.0,0.0,Because people were tired of the longer isolation and the CDC was getting backlash.,8,9.0,0.0
101,1721918837,__NA__,0.0,0.0,0.0,"If we cant believe them & their guidance, who can we believe ?",98,0.0,0.0,I suppose they feel 5-days is long enough for Covid to be gone and that 10-days was too long,98,0.0,0.0
187,1721959449,__NA__,0.0,0.0,0.0,information is changed as they know more about the virus. there are still unknown outcomes of the virus and vaccines.,4,11.0,0.0,the virus may only be contagious for a shorter amount of time than what they thought.,1,0.0,0.0
132,1721959457,__NA__,0.0,0.0,0.0,there smart,2,0.0,0.0,got less strong,11,0.0,0.0
26,1721994411,__NA__,0.0,0.0,0.0,They are scientists and know better.,99,0.0,0.0,So that people can go back to work,5,0.0,0.0
32,1721994417,__NA__,0.0,0.0,0.0,"They are basing their reports on science. At times, they have had to revise, but that shows they're following science.",4,1.0,0.0,To help. the country run more easily,98,0.0,0.0
103,1721994427,__NA__,0.0,0.0,0.0,It's their jobs to be informative to the people.,3,2.0,0.0,Don't know. Too much pressure from everyone.,97,8.0,0.0
138,1722026143,__NA__,0.0,0.0,0.0,"They are trying their best for accuracy, but even they don't know the full scope of the varience of this virus. It's too new!",21,11.0,0.0,In order to protect others from contracting the virus.,98,0.0,0.0
89,1722026153,__NA__,0.0,0.0,0.0,BECAUSE THEY ARE LYING ABOUT THE PANDEMIC,10,0.0,0.0,"CDC CANT BE TRUSTED,THEY ARE CONSTANTLY CHANGING THEIR STORIES",3,14.0,0.0
76,1722026155,__NA__,0.0,0.0,0.0,"I'm assuming that being scientists, they've been studying this.",2,0.0,0.0,Because it used to be longer.,9,0.0,0.0
30,1722066935,it' not 6 months yet untill 2/28,21.0,0.0,0.0,too politiical,10,0.0,0.0,no idea,97,0.0,0.0
102,1722069649,__NA__,0.0,0.0,0.0,I pretty much trust the information they're providing,3,0.0,0.0,Because of the vaccinations,10,0.0,0.0
79,1722069653,__NA__,0.0,0.0,0.0,"Of course, they have worked with many types of stains and are extremely smart.",2,0.0,0.0,This was new to us all. At first I am sure they prolongs it to keep us safe. Now that they had time to study the effects and symptoms.,1,0.0,0.0
316,1722069657,I was waiting to talk to my Dr. about it to see if my current medications would affect me getting the booster shot.,18.0,0.0,0.0,Theyre so many factors to consider. Public Health Scientists are the only people that know what this virus is capable of.,2,0.0,0.0,I think the CDC is trying to assure the American people that Covid 19 will end soon.,3,0.0,0.0
46,1722069663,__NA__,0.0,0.0,0.0,not enough is known about it. vaccines came to quickly,11,98.0,0.0,so the companies can make more money and give more control over our live to the government,5,14.0,0.0
33,1722099011,__NA__,0.0,0.0,0.0,Some people have other agendas,20,0.0,0.0,People need to work,5,0.0,0.0
38,1722100567,__NA__,0.0,0.0,0.0,"Their job is to identify health issues, and to find a way to lessen risk to others in the community. It is their job!",2,21.0,0.0,"They have researched the data and have studied the virus longer, and have a better understanding of the transmission caracteristics.",1,0.0,0.0
34,1722115355,__NA__,0.0,0.0,0.0,They all seem to have a political agenda and their measures have been proven not to be effective but they still push them on the Public.,20,16.0,19.0,Because true experts in the field are reporting that quarantines are not effective and actually cause more harm than good and the CDC is trying to slowly get out of the corner they have painted themselves into.,4,0.0,0.0
37,1722122907,__NA__,0.0,0.0,0.0,They have the scientific evidence to back what they say,4,0.0,0.0,Because it is less risky because you are isolated from others and the virus is contained,98,0.0,0.0
95,1722136279,__NA__,0.0,0.0,0.0,I do not trust them.,12,0.0,0.0,It was to long to start with.,9,0.0,0.0
69,1722156315,"I’ve had the vaccine, plus two bouts with covid, which is basically a cold on steroids. I am not concerned.",1.0,12.0,0.0,Positions changes daily.,13,0.0,0.0,Because they have no idea.,4,0.0,0.0
254,1722169297,__NA__,0.0,0.0,0.0,It's all about the science.,4,0.0,0.0,I don't know. It doesn't make sense to me.,97,0.0,0.0
386,1722182665,Too many discrepancies on the news. I’m conflicted. I got seriously ill with both shots,2.0,98.0,0.0,It’s all contradictory,13,0.0,0.0,Not sure,97,0.0,0.0
44,1722182667,Haven’t seen out of my house,98.0,0.0,0.0,Because they are all leaving,98,0.0,0.0,The states need to get people back to work,5,0.0,0.0
121,1722196293,I should have not gotten the 2 that I did get - something has happened - I no longer have any energy - no longer want to do anything- can no longer think the simplest thing through - am tired and sleepy all the time and have to sleep 2 to 4 hours in the afternoon everyday. I was not like that before those shots !,2.0,13.0,0.0,They lie,10,0.0,0.0,"Who knows, including them!",97,4.0,0.0
56,1722208829,__NA__,0.0,0.0,0.0,People like Fauci have flip flopped all over the place since this started. The rules do not apply to politicians. It's complete bullshit.,13,0.0,0.0,Yes and recomend they change a lot of things. The CDC should have 0 power over we the people. Nor should they make the money they do.,3,0.0,0.0
52,1722220715,I had severe reactions to both of the initial vaccines. I am still dealing with the side effects. It's been almost a year now.,13.0,2.0,0.0,It's hard to trust what the experts are saying when it been proven that officials have lied to the public about Covid 19. Everyone seems to have an agenda.,10,20.0,0.0,Because they made up the ten day rule and realized it doesn't make a difference it the overall outcome.,4,0.0,0.0
51,1722223881,__NA__,0.0,0.0,0.0,N.a,99,0.0,0.0,N.a,99,0.0,0.0
87,1722255045,Don't know if it is needed.,20.0,0.0,0.0,It should be they are scientists.,3,0.0,0.0,I'm not 100% sure?,97,0.0,0.0
135,1722266185,I have had to wait for the 6 month mark after my second vaccine and that has just passed at the end of January.,99.0,0.0,0.0,They have a moral obligation to say the truth.,1,21.0,0.0,I have no idea.,97,0.0,0.0
58,1722284471,__NA__,0.0,0.0,0.0,They never tell you everything,10,0.0,0.0,Don’t know why they do anything they fo,97,0.0,0.0
61,1722292185,I got my j&j shot for my family's health someone was sick and my family and I am waiting for the booster,21.0,0.0,0.0,I'll take doctor felch's word he been working on viruses his whole life,5,2.0,0.0,Because the Republicans would cry,8,0.0,0.0
59,1722293647,__NA__,0.0,0.0,0.0,There are too many uncertainties regarding the disease,11,0.0,0.0,To alienate people less than they already have,3,0.0,0.0
62,1722302319,Just haven't had time yet,7.0,0.0,0.0,Because I live in reality and understand how a virus is spread,98,0.0,0.0,Because each different variant will require us doing different things,2,0.0,0.0
93,1722305159,I was told i had to wait 6 months. It has not been 6 months yet,21.0,0.0,0.0,I dont know,99,0.0,0.0,Thats what they say so they know,99,0.0,0.0
63,1722306889,__NA__,0.0,0.0,0.0,I trust in their credentials and the institutions they come from. They are highly reputable and I understand that science advances as we obtain new information.,2,4.0,3.0,Because businesses couldn't accommodate the reduction in the workforce.,5,0.0,0.0
64,1722307165,__NA__,0.0,0.0,0.0,"The devote their lives to science and public health, swearing an oath to protect the human population.",21,0.0,0.0,I think the cdc has changed it’s isolation period because this virus is ever-changing and we are learning about it with more and more research and time passed.,1,0.0,0.0
65,1722307425,I got sick as a dog with horrible body aches when I got the first 2 shots and am not looking forward to that again.,2.0,14.0,0.0,"They're out to ""make a buck"" more than my own doctor so I only somewhat trust what they say.",20,0.0,0.0,They're able to get more of a handle on it and therefore it's not as serious as it was in the beginning plus more research hasbeen done on covid.,13,1.0,0.0
68,1722308783,__NA__,0.0,0.0,0.0,Because they study the science of the disease!!,2,0.0,0.0,Probably to help the economy,5,0.0,0.0
70,1722310357,__NA__,0.0,0.0,0.0,Na,99,0.0,0.0,Na,99,0.0,0.0
78,1722315541,not really,99.0,0.0,0.0,no,99,0.0,0.0,i just believe that they probably thought their decision was a good one,98,0.0,0.0
66,1722317465,Haven’t contracted Covid since the start of the pandemic and have known several people to get sick with positive tests after receiving the booster. I am vigilant in cleanliness and will continue to practice social distancing,11.0,6.0,0.0,"I don’t believe there has been research conducted over a long enough period of time to fully know the extent of Covid, vaccinations and it’s treatments.",98,0.0,0.0,Received more data from testing,1,0.0,0.0
72,1722330991,__NA__,0.0,0.0,0.0,"No I can't, because I don't know why.",99,0.0,0.0,Because people are getting tired of the old rules.,8,0.0,0.0
71,1722331095,__NA__,0.0,0.0,0.0,Most stories are accurate but there is some false statements,16,5.0,0.0,More studies have been completed.,1,0.0,0.0
73,1722336247,__NA__,0.0,0.0,0.0,Everything is a practice you have to look at not just one source for information we are all learning about this we all need to keep an open mind about all new treatments,98,0.0,0.0,Because omicron was less serious,2,0.0,0.0
74,1722336491,Because when I was due for the booster I came down with the coronavirus. Check with my primary doctor and he said to wait 60 to 90 days and get a booster if the virus starts to spike demographically,18.0,21.0,0.0,Scientific data usually comes from a conclusion of tests however I don't believe that we've had enough time to test the virus,98,4.0,0.0,Because the science has said that the incubation period could be shorter,1,0.0,0.0
82,1722357541,I Don't think it is necessary,20.0,0.0,0.0,I think it is reliable,3,0.0,0.0,0,99,0.0,0.0
75,1722359995,__NA__,0.0,0.0,0.0,"I trust the experts- doctors, CDC, hospital, clinic and ER physicians.",2,3.0,0.0,"The science supported it, and the need to get people back to work more quickly, especially in the health care field.",1,5.0,0.0
77,1722362725,__NA__,0.0,0.0,0.0,"First and foremost, medicine is not an exact science and information is changing all the time.",4,0.0,0.0,Maybe as an incentive to get more people vaccinated. I still don't think 5 days is long enough because new studies don't support this.,98,0.0,0.0
83,1722364735,__NA__,0.0,0.0,0.0,Not consistent,13,0.0,0.0,It was too long,9,0.0,0.0
84,1722371081,__NA__,0.0,0.0,0.0,"Because they are following the science, not conspiracy theories and random crap found on social media.",4,0.0,0.0,To help industries with staff shortages and because there are many places that have a higher percentage of vaccinated people.,5,10.0,0.0
92,1722371511,I want to get it but I don't think it is so necessary,20.0,0.0,0.0,because they are trusted people and they know exactly their work,3,2.0,0.0,"I think five days is not enough , they will keep carries of coronavirus after this period",98,0.0,0.0
86,1722371547,__NA__,0.0,0.0,0.0,We trust them on everything else why wouldn’t we on Covid-19?,3,0.0,0.0,Because they understand more after 2 years about transmission and as vaccinations %go higher that has an effect on isolation with breakthrough cases,1,10.0,0.0
88,1722374161,It interferes with my job right now I have wait till I not working for 90 days,21.0,15.0,0.0,Because they are trying to help the public,21,0.0,0.0,Pressure from the government,6,0.0,0.0
90,1722374669,__NA__,0.0,0.0,0.0,"Because no one really knows the long terms affects, since this disease is still fairly new.",11,0.0,0.0,I think they did because they were getting overwhelmed with the amount of people getting the virus. The schools were getting overwhelmed with having so many students and staff members out for that time period they first had.,98,0.0,0.0
147,1722378259,__NA__,0.0,0.0,0.0,It’s all political,98,0.0,0.0,Don’t know ! They,97,0.0,0.0
105,1722380615,Because I have anxiety to leave my house,98.0,0.0,0.0,because I don't trust the government 100%,8,0.0,0.0,capitalism,5,0.0,0.0
91,1722380751,__NA__,0.0,0.0,0.0,They have science degrees and doctorates and know what they're talking about,2,0.0,0.0,To keep the economy going,5,0.0,0.0
94,1722380887,__NA__,0.0,0.0,0.0,I find them reliable but change guidelines often,3,13.0,0.0,So it wouldn’t hurt the economy,5,0.0,0.0
96,1722383569,__NA__,0.0,0.0,0.0,I don’t have any reason to doubt the reasons of those scientists.,3,0.0,0.0,The virus has mutated. The incubation period is shorter. We know more about the disease process.,2,1.0,0.0
100,1722384119,__NA__,0.0,0.0,0.0,hopefully they are fully informed,2,0.0,0.0,people were complaining,8,0.0,0.0
97,1722384205,__NA__,0.0,0.0,0.0,I trust the science,4,0.0,0.0,To get people back to work sooner,5,0.0,0.0
99,1722384691,__NA__,0.0,0.0,0.0,You must follow science when research is being done for a virus that has created a pandemic,4,0.0,0.0,Due to lack of staffing in health care settings,98,0.0,0.0
98,1722384781,__NA__,0.0,0.0,0.0,"They have training and expertise in public health, and can provide unbiased facts about pandemic related issues.",2,1.0,0.0,Because a lot of the general public seemed intolerant of the full quarantine recommendations and this seemed like a compromise.,8,9.0,0.0
130,1722388665,__NA__,0.0,0.0,0.0,"A great amount of peer-reviewed research is publicly available, and produced under controlled situations.",4,0.0,0.0,Political pressure and realistic expectations.,6,8.0,9.0
104,1722391765,__NA__,0.0,0.0,0.0,They are educated and trained for these medical issues,2,0.0,0.0,So we can try to get back to a more normal life,98,0.0,0.0
112,1722393629,I just haven't felt like going to get one,98.0,0.0,0.0,I am not sure who to really trust,98,0.0,0.0,To help keep people safer,98,0.0,0.0
108,1722402273,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,Disease didnt change much changind the dates make no sense,4,0.0,0.0
110,1722402407,__NA__,0.0,0.0,0.0,Everything they tell you to do or not do has changed over 100 times. People wearing masks get sick and people vaccinated get sick.,16,13.0,0.0,I think they changed it just because they wanted to. They don't seem to know what they are doing. But they like to have control over it all.,4,3.0,0.0
107,1722404927,__NA__,0.0,0.0,0.0,great and helpful to stay safe,2,21.0,0.0,new research and informaiton,1,0.0,0.0
109,1722405099,__NA__,0.0,0.0,0.0,they say what they know. As they learn more from the statistics they change what they say.,1,2.0,4.0,historical information that has been collected as more people get the disease,1,0.0,0.0
111,1722405343,__NA__,0.0,0.0,0.0,Who’s to know. They are still learning from the virus and it’s still unknown about the covid-19 virus. Still trying to understand it.,11,0.0,0.0,"Do know. Maybe it’s not as contagious now due to herd immunity. But with open borders abs more people coming in to this country unvaccinated or not tested , this virus can keep spreading",97,10.0,0.0
115,1722428367,__NA__,0.0,0.0,0.0,I believe there is some truth to what they say but I also think they are trying to sell more medication so they fib a little,20,1.0,0.0,I think they changed it because a lot of people complain about being inside for a long period of time especially alone.,8,0.0,0.0
114,1722434939,Got covid pneumonia right before time to get so an told wait 3months by dr,21.0,0.0,0.0,They are making progress,98,0.0,0.0,Idk,97,0.0,0.0
118,1722437933,__NA__,0.0,0.0,0.0,They have science to back up the data,4,0.0,0.0,People were not cooperating,8,9.0,0.0
117,1722438011,__NA__,0.0,0.0,0.0,they are over obsessed,98,0.0,0.0,they keep changing the rules,99,0.0,0.0
116,1722438061,__NA__,0.0,0.0,0.0,because they are the trained professionals,2,0.0,0.0,because people are still contagious,98,0.0,0.0
119,1722438803,I am travelling in to others country. That's why I can't get the booster dose.,98.0,0.0,0.0,I think we need more health service. Now the public health service now very nice.,99,0.0,0.0,I prefer of that.,99,0.0,0.0
174,1722439705,__NA__,0.0,0.0,0.0,I think knowledge still incomplete at this moment. But both doing the best they can given available information.,1,21.0,11.0,New data and complaints from businesses,1,5.0,0.0
120,1722448551,__NA__,0.0,0.0,0.0,I feel like the information given changes and contradicts itself often which makes it hard to trust.,13,12.0,14.0,To try to get people back to work faster and repair the economy.,5,0.0,0.0
122,1722449261,__NA__,0.0,0.0,0.0,"Because I think there has been a lot of confusion. One scientist says this, another says that.",14,13.0,0.0,Because I think 10 days was too long. And people I know who quarrantined felt better in far less than 10 days,9,0.0,0.0
123,1722460031,__NA__,0.0,0.0,0.0,The media and experts are blowing everything out proportion to brainwash and confuse the media,10,0.0,0.0,beacuase they are lying about it all,3,15.0,0.0
124,1722472023,__NA__,0.0,0.0,0.0,"science always changing, rush to make a statement",4,0.0,0.0,"People whining, employers complaining about expense due to sick time, decreased productivity, lack of employees",8,5.0,0.0
127,1722478993,I'm not due for it until the end of February,21.0,0.0,0.0,Scientists have the correct information. I don't get my Covid information from Fox or Newsmax,2,9.0,0.0,the new variant is more mild,11,0.0,0.0
126,1722479039,__NA__,0.0,0.0,0.0,"I think they're telling us what is known, but the science is evolving and therefore recommendations often change.",1,4.0,0.0,They are concerned with economic impacts of too many people out sick from work.,5,0.0,0.0
131,1722483153,my next apointment is on feb 21,21.0,0.0,0.0,"Science save lives. Scientific data is far more reliable than the words of politicians, preachers, and pastors.",3,4.0,8.0,Because science is about facts and evidence. The CDC duty is to inform the public and make recomendations based on science best practice for the good of all.,1,0.0,0.0
129,1722490259,The booster is still ineffective against all covid-19 variants,17.0,0.0,0.0,Not enough testing has been done and noone will show actual results,98,0.0,0.0,They are still learning about the covid 19 disease,1,0.0,0.0
128,1722494061,__NA__,0.0,0.0,0.0,They know what they're talking about they went to plenty years of school,2,0.0,0.0,Because they're always finding out new things,1,0.0,0.0
133,1722505479,__NA__,0.0,0.0,0.0,I think they tell mainly truth but I think there is a lot of stuff they don't tell the public,1,10.0,0.0,I not sure before in my state is was 14 days now it is at 5 days but now we have the new strain of COVID-19 u would think they would up the isolation period if it is still dangerous to people like they claim,97,0.0,0.0
134,1722544179,__NA__,0.0,0.0,0.0,Because a lot of them just have no clue!!,11,0.0,0.0,Because they really don't have a clue!!,4,0.0,0.0
136,1722559377,__NA__,0.0,0.0,0.0,no comment,99,0.0,0.0,who knows... tomorrow it could be something else. evryday seems to be a new thing,97,0.0,0.0
137,1722572187,I actually have an appointment to get it tomorrow,21.0,0.0,0.0,I just believe in the system,4,0.0,0.0,I’m really not sure,97,0.0,0.0
196,1722577035,__NA__,0.0,0.0,0.0,It often seems to be influenced by economic needs,20,0.0,0.0,Because of pressure from business interests,5,0.0,0.0
140,1722589995,__NA__,0.0,0.0,0.0,Because the virus is affecting less people bad of today,98,0.0,0.0,After research a few people,1,0.0,0.0
