Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1725126025,__NA__,,,,I’m a scientist with a PhD in microbiology and understand that advice from public health officials is updated due to developing and increased knowledge of the infectious agent.,02,,,"As more data is collected with respect to transmission and based on testing recommendations of people with positive-status close contacts, it’s clear that a diagnostic test would confirm infection or symptoms would develop during 5 days.",01,,
1725136541,__NA__,,,,This is what they are trained to do,02,,,Because we learned more about this disease since the first guidance came out,01,,
1725126679,__NA__,,,,Just answered this one,99,,,Politics hoping more compliance and less blowback if shorter...as well as data indicating current variants contagious earlier,01,02,06
1725136473,__NA__,,,,That's their job,02,,,The longer period was not necessary,09,,
1725136943,__NA__,,,,I think that the science is evolving and public health specialists are doing their best to update recommendations,04,,,I believe it was based on the period that covid is contagious in symptomatic people. If you still have symptoms but are not contagious you should be able to leave your home.,01,,
1725136477,They lied about the shot it nether keeps you from getting this virus nor from spreading it. I also got it because my husband wanted to travel otherwise I would not have taken it,06,,,I they are doing it for the money and are lying to us . People have died from this virus but most that died died with it and from other things but they were listed as dying from Covid which is deceitful and only prolonging the farce,20,16,10,There is an election coming up,06,,
1725144573,__NA__,,,,"Due to the evolving nature of the virus and political pressure placed by the Biden Administration on reopening, I am somewhat skeptical of information from public health sciences diminishing the risk of in person transmission among vaccinated people",98,,,Political pressure from the White House,06,,
1725137681,"Absolutely no need to fund big pharma for a virus that causes a mild flu if that. I’ve had Covid twice, once before the vaccine and hardly any symptoms. People need to take responsibility for their own health and stop relying on experimental “vaccines”. I feel they are not safe.",12,09,10,The CDC and the WHO are a complete joke! As is Fauci! All flip flop self serving frauds!!!,20,13,11,Because they have no idea what they’re doing!!!!,04,,
1725148955,__NA__,,,,They have no clue. It's all political,11,20,,Gotta fit the newest narrative,03,,
1725137133,Family members contacted COVID each time I had an appointment,21,,,Trust science,04,,,Yes,99,,
1725148035,Feel like i dont need it,20,,,They are the ones studying the disease and vaccinations,02,,,They are learning more about the spread of the disease,01,,
1725135315,__NA__,,,,I think this is an ongoing new virus that we continue to learn more about every day. I think that doctors and other medical professionals do their best to give as much information to the best of their knowledge as possible.,02,,,People are putting pressure on the CDC and other government agencies to get things back to normal.,08,,
1725147901,__NA__,,,,"I trust the science, but believe we are not always given clear or up-to-the-minute information",04,,,"I think this changed because society has to keep functioning, not because it is a safer choice.",08,,
1725149777,I don’t find it necessary.,20,,,Do I need to? I think we all know we’ve been getting very different information over the past year,13,,,Political reasons,06,,
1725150135,__NA__,,,,Science is evolving but I trust science,04,,,Updated science supporting more practical guidelines,01,,
1725153411,__NA__,,,,Not sure,98,,,They don’t know all the facts,04,,
1725160809,__NA__,,,,I trust the science,04,,,Business pressure,05,,
1725149851,__NA__,,,,No,99,,,Don’t know,98,,
1725112721,__NA__,,,,Because they're highly invested in vaccine creation and profiting largely because of that.,20,,,Because they know it's nothing more than the flu.,11,,
1725172193,__NA__,,,,Very informed,02,,,Loss of work,05,,
1725147891,"I have had COVID, and I believe natural immunity is more effective than the booster.",10,,,Public scientists have shifted their positions over time. And public scientists between nations have very often disagreed with each other. Public scientists additionally seem to have taken steps to silence scientists who disagree with the current position.,13,98,,"Recognizing the need to keep the country running, and recognizing that the Omicron variant was infectious to the extent that limited benefit is derived from having extended quarantines",02,08,
1725161109,Because I had the 2 Moderna shots & still came up positive with covid,05,,,"Masks & vaccines aren’t full proof, people are still getting COVID-19 with all the precautions public health scientists have come forth with",16,,,Because they’re not sure how long people should isolate for,04,,
1725137687,__NA__,,,,.,99,,,To get people back to work...the economy.,05,,
1725154021,__NA__,,,,research they have done,02,,,research,01,,
1725184233,__NA__,,,,Because they made it impossible to obtain therapeutics and flip flopped on masks,13,,,So people would go to work.,05,,
1725187499,__NA__,,,,There is a lot of conflicting information that seems to change quickly,13,,,Omicron is not as bad as alpha and delta strains,02,,
1725186831,__NA__,,,,Contradictions to previous statements.,13,,,It doesn’t really know what’s going on.,04,,
1725187617,__NA__,,,,"I believe that the information has been studied thoroughly. The data is key to understanding where we stand in the fight against Covid 19, and how to protect against its further spread.",02,,,"Because the most recent variants aren’t as dangerous and long lasting, as long as you’re vaccinated.",02,10,
1725196797,__NA__,,,,It's confusing,99,,,To get people back to work,05,,
1725137861,__NA__,,,,I trust that they are looking at the latest data and using their judgment and past experience to craft the best policy.,02,,,Because people were not complying with the ten day period anyways.,08,,
1725198279,__NA__,,,,They studied the disease more than me.,02,,,14 days was inconvenient,09,,
1725207257,__NA__,,,,I trust doctors and scientists to know their job,03,,,Political or economic pressure,05,06,
1725207005,__NA__,,,,"Those in charge politicized the impact too quickly. Credibility was quickly lost because it became obvious it was a power grab opportunity in an election year. Plus, I am sure that the economics were too great for those in power not to try to capitalize on it. Not to mention the actual data — from early on — did not reflect the need for the impositions created. Instead of creating an equitable situation, those in power should have protected those that were highest risk and managed towards that. Instead, they screwed up everything, created a divisive environment, and segregated people — which I presume was not nefarious and only because their decision making was simply based upon the results from poor modeling.",16,10,,Politic Pressure. It is one again an election year.,06,,
1725208143,__NA__,,,,Influenced by big pharma. Way to many conflicts of interest.,10,20,,Public outrage.,08,,
1725214943,"Not interested, healthy 25 year old who takes good care of herself ill take my chances with covid. Only got the vaxx to take my mask off",11,,,"Wishy washy agenda pushers with hands in everyones pockets. Wheres the information about healthy diets, vitamin d, exercise and mental health care. The kids are who are ultimately being hurt here. They have zero social skills and are afraid to live.",10,20,,Political pressure,06,,
1725215221,__NA__,,,,I believe in science,04,,,Because the Omicron variant is less severe.,02,,
1725208389,__NA__,,,,I think they are good at science and poor at communication.,02,,,"Because the volume of positive tests, and the relative mildness of the disease, did not justify the disruption to society caused by such a lengthy isolation.",09,11,
1725223883,__NA__,,,,i like to see people safe,98,,,to have people cdc to be safe,98,,
1725216039,__NA__,,,,I trust scientists. I trust science. I understand statistics enough. . Trust the nerds.,02,04,,"To balance risk with what people are currently willing to do. That has changed over time and people are less willing to isolate for a long time. Also omicron incubation is shorter so duration of illness may be less, but these decisions (I believe) were more politically motivated than scientifically motivated.",06,02,
1725107361,__NA__,,,,it is much better now than under Trump but the messages were inconsistent,13,,,the science and data,01,,
1725261565,"Haven't had mobility to be able to go get the second dose, also lost my vaccine card and am not sure what to do",21,,,"It is their job, they do this their entire lives because they believe in it",02,,,Not sure honestly. Learned more about covid possibly?,01,,
1725263117,__NA__,,,,They could change the numbers to fit their narrative.,10,,,Because OMICRON is not as dangerous.,02,,
1725290159,because i do not the medical implications of why people i know have died because of what it did to them being in good health and their heart muscles causing death.,09,15,,they are not going to pass on information to the greater good what good is it,99,,,we go towards the endemic,99,,
1725298799,I haven't gotten my second dose yet,21,,,It's better to hear it from health professionals,98,,,The amount of covid cases has decreased,13,,
1725285479,__NA__,,,,Non-political info. Doctor wants best for my health with no bias.,98,,,Wanted yeti keep people working and kids & teachers in the classroom,99,,
1725308771,Because i had omicron so i going to way,10,16,,Doctor study medicine know more them me,02,,,Because is pandemia and virus is dangerous,98,,
1725217123,"I feel safe, I feel protected.",11,,,I form my own opinions,98,,,For the safety of the community.,98,,
1725505737,__NA__,,,,Science,99,,,New information,01,,
1725172355,__NA__,,,,They don’t tell the truth. They flip flop on policy to what is convenient.,10,13,,The economy,05,,
1725572205,__NA__,,,,Depends on what network on tv or internet is talking. Politics has caused people to lean towards politicians words vise science.,99,,,Financial reasons,05,,
1725574781,__NA__,,,,Expertise matters. I want to hear from the most learned people on any subject and take their advice.,02,,,Learned further information.,01,,
1725574645,__NA__,,,,"Statements have been made with utmost certainty, only to be altered later. This has happened repeatedly, with their 100% confidence in the initial statements made. Once this happens too many times, you begin to doubt what they say even if they claim that THIS TIME they are 100% correct.",16,13,,"Hopefully the change was based on new data to make a more-accurate conclusion, and the previous policy may have erred on the side of caution.",01,,
1725574801,__NA__,,,,They flip flop so frequently. Nothing was ever definitive. So wishy washy,13,,,Shortage of workers.,05,,
1725582673,__NA__,,,,They are the experts.,02,,,The economy.,05,,
1725582595,__NA__,,,,I generally trust the motivations of public servants. They are acting in our best interests.,21,,,Best data available,01,,
1725584735,__NA__,,,,"There is a lot of information and with mutations like Delta, and Omicron, the information can change very quickly and often conflicts with official statements. I try to keep up, but I think that a lot of the people that are less on top of this, see so much of it as contradictory and untrustworthy. So in a sense, it's not that I don't trust the information, but I feel like the information that people are getting is so fragmented that it makes it easy for them to discount what they don't want to hear. I am sure that I am guilty of this as well seeing as I live with an unvaccinated person who is very small and I have been trying to keep safe while working and maintaining any semblance of sanity.",98,,,"The messaging I received was that the CDC changed the isolation period because of political pressure as a result of the worker shortage. In reality, I am sure that five days is fine for the majority of cases, but it's probably safe to assume that seven days is more accurate.",06,05,
1725585645,__NA__,,,,Why not?,98,,,Money,05,,
1725585043,__NA__,,,,Extensive Research and testing has been done,02,,,Pressure from Government so the economy can get back on track and people are not losing money from work.,06,05,
1725584875,__NA__,,,,they don't tell the people everything,10,,,No clue,98,,
1725594387,__NA__,,,,"These are people who have degrees, years of training and experience, and are more likely than not experts in their field. Who am I to disagree with someone who has years and years of knowledge about science that I don’t have?",02,,,Because people are mad about having to isolate and because businesses are sick of losing time and work when employees are isolating for “too long.”,08,05,09
1725584817,Risk of safety healthwise,09,,,Because sometimes they contradict themselves and they contradict each other,13,,,Accommodating Businesses and politicians who want to get the economy back to where it was,05,06,
1725599629,__NA__,,,,Because science works.,04,,,Because people don't read the fine print about it being fine if you don't have symptoms or keep testing positive.,98,,
1725595551,__NA__,,,,"They cannot know everything about the virus at all times. The virus mutates creating a very fast changing situation, so they may be wrong from time to time",98,,,Because they have more data,01,,
1725593889,__NA__,,,,I trust people with an academic/research background who have an interest in public health.,02,,,"I think it's to make some concessions to those insisting on getting back to ""normal"" (as if that were even possible, much less a good idea to resume the status quo).",08,,
1725599433,__NA__,,,,I trust they are experts in the field with the intention of informing and protecting the community,02,,,New data suggested it could be changed,01,,
1725604131,__NA__,,,,I don't know,98,,,Sure all,99,,
1725632107,__NA__,,,,I do not believe that any vaccine that was just made for the coronavirus one of Iris is any good and in the long term is going to have serious side effects,99,,,I think they change the insulation. Because This covid may be deadly but so is the flu,11,,
1725632237,__NA__,,,,I trust they are giving the best information they have at the time.,03,,,Political pressure,06,,
1725623631,__NA__,,,,I am a microbiologist (Professor of Cell and Molecular Biology) and I know the data being used. Public health scientists are using the same data that I have seen to make their statements and recommendations.,04,,,"Since most infections (>80%) are apparent by 5 days after exposure, there is little reason to keep people home and in isolation beyond that time.",01,09,
1722752991,__NA__,,,,i trust them,03,,,no,99,,
1725641743,__NA__,,,,I trust their expertise,02,,,They’ve learned more,01,,
1725662199,Not sure,99,,,Because you don’t know who is saying what or telling the truth . I like to hear it face to face .,10,,,Because they don’t want people to use Covid as a way to say home and collect money,05,,
1725661995,__NA__,,,,"They are trainer medical professionals, and I trust they are applying their training towards minimizing harm.",02,,,"They were providing guidance that covered 90% of the situations (infectious for 5 days), in the hope that people would abide by it, as opposed to more stringent that covers 98%, but nobody listened to.",09,,
1725693973,__NA__,,,,"Depending on for which organization the scientist employed, there may be institutional/political biases that impact the information shared.",10,,,Pressure from large corporations to minimize the time workers quarantine if exposed.,05,,
1725594121,__NA__,,,,It’s what they study for a living. They are not motivated to make stuff up or bend the truth to be comfortable politically.,02,01,,Because -almost all infections happen within 5 days.,01,,
1725723411,__NA__,,,,They gave the education and background to provide the correct research.,02,,,Due to longer term information and study of previous outcomes,01,,
1725738339,I was hospitalized for stroke symptoms and diagnosed with Bell’s palsy after second shot.,02,,,Inconsistent,13,,,I’d assume they know the transmission time period.,01,,
1725768453,__NA__,,,,Our understanding evolves; science works,04,,,Political pressure from the right.,06,,
1725777419,__NA__,,,,CDC has failed to deliver a clear message and has done a bad job explaining changes in policy,13,,,I presume they though the shorter period might get more people to isolate,09,,
1725777231,__NA__,,,,More trusty than politicians,08,,,Politics,06,,
1725797215,__NA__,,,,Personal bias are involved,10,,,Help get the world back in order,98,,
1725807275,__NA__,,,,Trust the science,04,,,To move the economy forward,05,,
1725844079,__NA__,,,,Because they research it the most,02,,,Because too many people were out of work and school,05,,
